Name,2018Ridership,Rank2018,Position
8 St-New York University ,"17,192",80,POINT (-73.99250799849149 40.73046499853991)
81 St-Museum of Natural History ,"15,383",94,POINT (-73.97209794937208 40.78134608418206)
86 St ,"19,325",73,POINT (-73.97621799859327 40.78864400073892)
86 St ,"43,169",20,POINT (-73.95558899985132 40.77949199820952)
Nostrand Av ,"17,437",79,POINT (-73.95042600099683 40.68043800006226)
Ocean Pkwy ,"3,199",358,POINT (-73.96850099975177 40.57631166708091)
Park Pl ,"1,725",406,POINT (-73.95762400074634 40.67477166685263)
Parksde Av ,"6,050",251,POINT (-73.96145343987648 40.65507304163716)
Pennylvania Av ,"4,331",316,POINT (-73.89488591154061 40.66471445143568)
President St ,"4,019",323,POINT (-73.95058920022207 40.667883603536815)
Prospect Av ,"5,523",269,POINT (-73.99287200067424 40.66541366712979)
Prospect Park ,"10,059",159,POINT (-73.96203130426609 40.6616334551018)
Ralph Av ,"5,768",261,POINT (-73.92078599933306 40.678822000873375)
Rockaway Av ,"4,747",297,POINT (-73.90895833584449 40.66261748815223)
Rockaway Av ,"5,667",265,POINT (-73.91194599726617 40.678339999883505)
Saratoga Av ,"5,246",280,POINT (-73.91633025007947 40.6615297898075)
Sheepshead Bay ,"13,946",109,POINT (-73.95405791257907 40.58654754707536)
Shepherd Av ,"3,182",361,POINT (-73.88074999747269 40.6741300014559)
Smith-9 Sts ,"4,689",300,POINT (-73.99589172790934 40.67364106090412)
Sterling St  ,"5,684",264,POINT (-73.95072891124937 40.6627729934283)
Sutter Av ,"4,029",322,POINT (-73.9019160004208 40.66914500061398)
Sutter Av-Rutland Rd ,"6,657",231,POINT (-73.92252118536001 40.66476678877493)
Union St ,"6,835",227,POINT (-73.98310999909673 40.67731566735096)
Utica Av  ,"16,121",85,POINT (-73.93072899914027 40.67936399950546)
Van Siclen Av ,"2,904",371,POINT (-73.88940491730106 40.665517963059635)
Van Siclen Av ,"3,021",368,POINT (-73.8903580002471 40.67270999906104)
Van Siclen Av  ,"2,678",376,POINT (-73.89165772702445 40.67802821447783)
West 8 St-New York Aquarium ,"2,469",383,POINT (-73.97595787413822 40.576033818103646)
Wilson Av ,"4,468",311,POINT (-73.90395860491864 40.68886654246024)
Winthrop St ,"7,262",205,POINT (-73.95007934590994 40.65665931376077)
York St ,"11,032",140,POINT (-73.98688499993673 40.699742667691574)
86 St,"6,007",253,POINT (-73.97818899936274 40.59246500088859)
86 St,"25,455",46,POINT (-73.95177090964917 40.77786104333163)
96 St,"36,026",27,POINT (-73.97232299915696 40.79391900121471)
96 St,"17,447",78,POINT (-73.9510700015425 40.78567199998607)
96 St,"9,924",162,POINT (-73.96460245687166 40.79161879767014)
96 St,"19,318",74,POINT (-73.9470660219183 40.784236650177654)
Astor Place,"16,031",86,POINT (-73.99106999861966 40.73005400028978)
Bowery,"3,738",333,POINT (-73.99380690654237 40.720246883147254)
Bowling Green,"28,646",34,POINT (-74.01400799803432 40.70491399928076)
Broad St,"7,050",216,POINT (-74.01105599991755 40.706476001106005)
Broadway-Lafayette St /Bleecker St,"36,493",25,POINT (-73.99620399876055 40.725296998738045)
Brooklyn Bridge-City Hall /Chambers St,"30,932",32,POINT (-74.00340673031336 40.71323378962671)
Canal St,"6,410",238,POINT (-74.0062770001748 40.72285399778783)
Canal St,"20,424",67,POINT (-74.0052290023424 40.72082400007119)
Canal St,"47,034",17,POINT (-74.00105471306033 40.718814263587134)
Cathedral Pkwy-110 St,"12,526",124,POINT (-73.9668470005456 40.80396699961484)
Cathedral Pkwy-110 St,"3,785",330,POINT (-73.95806670661364 40.800581558114956)
Central Park North-110 St,"8,815",174,POINT (-73.95182200176913 40.79907499977324)
Chambers St,"21,303",62,POINT (-74.00926600170112 40.71547800011327)
Chambers St /WTC /Park Place,"72,396",9,POINT (-74.00858473570133 40.714111000774025)
Christopher St-Sheridan Sq,"9,675",163,POINT (-74.00290599855235 40.73342200104225)
City Hall,"6,657",230,POINT (-74.00698581780337 40.71327233111697)
Delancey St /Essex St,"24,562",49,POINT (-73.98740940202974 40.71830605618619)
Dyckman St,"7,002",218,POINT (-73.92553600006474 40.86053100138796)
Dyckman St,"6,477",235,POINT (-73.92727099960726 40.865490998968916)
East Broadway,"13,868",110,POINT (-73.99017700122197 40.713855001020406)
Franklin St,"5,943",256,POINT (-74.00688600277107 40.719318001302135)
Fulton St,"92,990",5,POINT (-74.00793800110387 40.71002266658424)
Grand Central-42 St,"155,345",2,POINT (-73.9767132992584 40.75180742981634)
Grand St,"23,422",53,POINT (-73.99375299913589 40.71826699954992)
Harlem-148 St,"4,074",320,POINT (-73.93647000005559 40.82388000080457)
Houston St,"15,698",88,POINT (-74.00536700180581 40.728251000730204)
Inwood-207 St,"8,793",175,POINT (-73.91989900100465 40.86807199999737)
Lexington Av /59 St,"55,608",14,POINT (-73.9679670004732 40.762526000304575)
Lexington Av-53 St /51 St,"64,499",10,POINT (-73.96907237490204 40.75746830782865)
Lexington Av-63 St,"21,394",61,POINT (-73.96608964413245 40.76461809442373)
Marble Hill-225 St,"5,433",273,POINT (-73.90983099923551 40.87456099941789)
